dates,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2018-07-23 20:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.007996314296909387,0.0,-0.006578876252703367,-0.0009412913759354037,-0.003568202775601722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 21:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,8.215946280185418e-05,0.0,-0.006578876252703367,-0.0009412913759354037,-0.007520818803345024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 22:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.013640886213857438,0.0,-0.006578876252703367,-0.0009412913759354037,-0.0007415764610988092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 23:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002819133531627039,0.0,-0.006578876252703367,-0.0009412913759354037,-0.007702703753820762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 00:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.002960872619256546,0.0,-0.006578876252703367,-0.0009412913759354037,-0.006081851023425823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 01:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.00201280853715828,0.0,-0.006578876252703367,-0.0009412913759354037,-0.008568608714071838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 02:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.003942216731608204,0.0,-0.006578876252703367,-0.0009412913759354037,-0.005591194696368857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 03:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,-0.007574349262083478,0.0,-0.006578876252703367,-0.0009412913759354037,-0.011325636465172838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 05:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0028128061824029818,0.0,-0.006578876252703367,-0.0009412913759354037,-0.006163173437832692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-24 06:00:00,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.000931997162492968,0.0,-0.006578876252703367,-0.0009412913759354037,-0.007103074738578614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
